PBfusion.1.2	transcript/80175
PBfusion.41.2	transcript/7681
PBfusion.41.1	transcript/122750,transcript/7681
PBfusion.42.1	transcript/80530
PBfusion.42.2	transcript/80530
PBfusion.43.2	transcript/79918
PBfusion.43.1	transcript/79918
PBfusion.44.1	transcript/126198
PBfusion.44.2	transcript/126198
PBfusion.45.2	transcript/137812
PBfusion.45.1	transcript/137812
PBfusion.46.1	transcript/54491
PBfusion.46.2	transcript/54491
PBfusion.47.1	transcript/64755
PBfusion.47.2	transcript/64755
PBfusion.48.1	transcript/121949
PBfusion.48.2	transcript/121949
PBfusion.49.1	transcript/182210
PBfusion.49.2	transcript/182210
PBfusion.50.1	transcript/79389
PBfusion.50.2	transcript/79389
PBfusion.51.1	transcript/94658
PBfusion.51.2	transcript/94658
PBfusion.52.2	transcript/94403
PBfusion.52.1	transcript/94403
PBfusion.53.2	transcript/165061
PBfusion.53.1	transcript/165061
PBfusion.54.2	transcript/116977
PBfusion.54.1	transcript/116977
PBfusion.54.3	transcript/116977
PBfusion.55.1	transcript/15110
PBfusion.55.2	transcript/15110
PBfusion.56.2	transcript/93055
PBfusion.56.1	transcript/93055
PBfusion.57.2	transcript/3033
PBfusion.57.1	transcript/3033
PBfusion.58.1	transcript/139099
PBfusion.58.2	transcript/139099
PBfusion.59.2	transcript/129243,transcript/147373
PBfusion.59.1	transcript/129243
PBfusion.60.2	transcript/129243,transcript/147373
PBfusion.60.1	transcript/147373
PBfusion.61.1	transcript/160996
PBfusion.61.2	transcript/160996
PBfusion.62.1	transcript/117729
PBfusion.62.2	transcript/117729
PBfusion.63.2	transcript/75778
PBfusion.63.1	transcript/75778
PBfusion.64.1	transcript/71572
PBfusion.64.2	transcript/71572
PBfusion.65.1	transcript/168895
PBfusion.65.2	transcript/168895
PBfusion.66.2	transcript/113712
PBfusion.66.1	transcript/113712
PBfusion.67.2	transcript/16893
PBfusion.67.1	transcript/16893
PBfusion.68.2	transcript/103875
PBfusion.68.1	transcript/103875
PBfusion.69.2	transcript/68119
PBfusion.69.1	transcript/68119
PBfusion.70.1	transcript/176671
PBfusion.70.2	transcript/117227,transcript/176671,transcript/38282
PBfusion.71.1	transcript/165097
PBfusion.71.2	transcript/83238,transcript/61928,transcript/165097
PBfusion.72.1	transcript/93130
PBfusion.72.2	transcript/93130
PBfusion.73.1	transcript/61211
PBfusion.73.2	transcript/61211
PBfusion.74.1	transcript/104902
PBfusion.74.2	transcript/104902
PBfusion.75.2	transcript/133945
PBfusion.75.1	transcript/133945
PBfusion.76.1	transcript/25277
PBfusion.76.2	transcript/25277
PBfusion.77.2	transcript/51327
PBfusion.77.1	transcript/51327
PBfusion.78.1	transcript/39985
PBfusion.78.2	transcript/39985
PBfusion.79.2	transcript/29509
PBfusion.79.1	transcript/29509
PBfusion.80.2	transcript/129684
PBfusion.80.1	transcript/129684
PBfusion.81.2	transcript/178308
PBfusion.81.1	transcript/178308
PBfusion.82.1	transcript/87934
PBfusion.82.2	transcript/87934
PBfusion.83.2	transcript/59562
PBfusion.83.1	transcript/59562
PBfusion.84.2	transcript/138332
PBfusion.84.1	transcript/138332
PBfusion.85.1	transcript/36838
PBfusion.85.2	transcript/36838
PBfusion.86.2	transcript/162533
PBfusion.86.1	transcript/162533
PBfusion.87.2	transcript/187985
PBfusion.87.1	transcript/187985
PBfusion.88.1	transcript/149871
PBfusion.88.2	transcript/149871
PBfusion.89.1	transcript/134799
PBfusion.89.2	transcript/134799
PBfusion.90.1	transcript/159025
PBfusion.90.2	transcript/159025
PBfusion.91.1	transcript/173150
PBfusion.91.2	transcript/173150,transcript/113824
PBfusion.92.1	transcript/169123
PBfusion.92.2	transcript/169123
PBfusion.93.2	transcript/38723
PBfusion.93.1	transcript/38723
PBfusion.94.2	transcript/143955
PBfusion.94.1	transcript/143955
PBfusion.95.2	transcript/72318
PBfusion.95.1	transcript/72318
PBfusion.96.2	transcript/164816
PBfusion.96.1	transcript/164816
PBfusion.97.1	transcript/52742
PBfusion.97.2	transcript/52742
PBfusion.98.2	transcript/3455
PBfusion.98.1	transcript/3455
PBfusion.99.1	transcript/132225
PBfusion.99.2	transcript/132225
PBfusion.100.1	transcript/81898
PBfusion.100.2	transcript/81898
PBfusion.101.1	transcript/155314
PBfusion.101.2	transcript/155314
PBfusion.102.1	transcript/14733
PBfusion.102.2	transcript/14733
PBfusion.103.2	transcript/181890
PBfusion.103.1	transcript/181890
PBfusion.104.1	transcript/49759
PBfusion.104.2	transcript/49759
PBfusion.105.1	transcript/190988
PBfusion.105.2	transcript/190988
PBfusion.106.1	transcript/174410
PBfusion.106.2	transcript/174410
PBfusion.107.2	transcript/94026
PBfusion.107.1	transcript/94026
PBfusion.108.1	transcript/82339
PBfusion.108.2	transcript/40141,transcript/112643,transcript/170992,transcript/82339,transcript/149648,transcript/155774
PBfusion.109.2	transcript/165623
PBfusion.109.1	transcript/165623
PBfusion.110.1	transcript/152941
PBfusion.110.2	transcript/152941
PBfusion.111.1	transcript/113824
PBfusion.111.2	transcript/173150,transcript/113824
PBfusion.112.1	transcript/172846
PBfusion.112.2	transcript/172846
PBfusion.113.1	transcript/112643
PBfusion.113.2	transcript/40141,transcript/112643,transcript/170992,transcript/82339,transcript/149648,transcript/155774
PBfusion.114.1	transcript/138848
PBfusion.114.2	transcript/138848
PBfusion.115.2	transcript/46705
PBfusion.115.1	transcript/46705
PBfusion.116.1	transcript/30804
PBfusion.116.2	transcript/30804
PBfusion.117.1	transcript/135934
PBfusion.117.2	transcript/135934
PBfusion.118.1	transcript/126289
PBfusion.118.2	transcript/126289
PBfusion.119.2	transcript/167247
PBfusion.119.1	transcript/167247
PBfusion.120.1	transcript/170115
PBfusion.120.2	transcript/170115
PBfusion.121.1	transcript/102539
PBfusion.121.2	transcript/102539
PBfusion.122.2	transcript/169183
PBfusion.122.1	transcript/169183,transcript/170444,transcript/3303,transcript/171460,transcript/131307,transcript/128703
PBfusion.123.2	transcript/33407,transcript/168193
PBfusion.123.1	transcript/33407
PBfusion.124.2	transcript/33407,transcript/168193
PBfusion.124.1	transcript/168193
PBfusion.125.2	transcript/176630
PBfusion.125.1	transcript/176630
PBfusion.126.1	transcript/46748
PBfusion.126.2	transcript/46748
PBfusion.127.2	transcript/51172
PBfusion.127.1	transcript/51172
PBfusion.128.2	transcript/66194
PBfusion.128.1	transcript/66194
PBfusion.129.1	transcript/22608,transcript/128244
PBfusion.129.2	transcript/121808,transcript/57149,transcript/61555,transcript/137855,transcript/98732,transcript/22608,transcript/26837,transcript/103501,transcript/63175
PBfusion.130.2	transcript/89960,transcript/89496
PBfusion.130.1	transcript/89496
PBfusion.131.1	transcript/61555
PBfusion.131.2	transcript/121808,transcript/57149,transcript/61555,transcript/137855,transcript/98732,transcript/22608,transcript/26837,transcript/103501,transcript/63175
PBfusion.132.1	transcript/167359
PBfusion.132.2	transcript/167359
PBfusion.133.2	transcript/45524
PBfusion.133.1	transcript/45524
PBfusion.134.1	transcript/66545
PBfusion.134.2	transcript/66545
PBfusion.135.2	transcript/103634
PBfusion.135.1	transcript/103634
PBfusion.136.2	transcript/42703
PBfusion.136.1	transcript/42703
PBfusion.137.2	transcript/153627
PBfusion.137.1	transcript/153627
PBfusion.138.1	transcript/20017
PBfusion.138.2	transcript/20017
PBfusion.139.1	transcript/122764
PBfusion.139.2	transcript/122764
PBfusion.140.1	transcript/68762
PBfusion.140.2	transcript/68762
PBfusion.141.2	transcript/152554
PBfusion.141.1	transcript/152554
PBfusion.142.1	transcript/43438
PBfusion.142.2	transcript/43438
PBfusion.143.1	transcript/38017
PBfusion.143.2	transcript/38017
PBfusion.144.2	transcript/140473
PBfusion.144.1	transcript/140473
PBfusion.145.1	transcript/126012
PBfusion.145.2	transcript/126012
PBfusion.146.2	transcript/12557
PBfusion.146.1	transcript/12557
PBfusion.147.2	transcript/117768
PBfusion.147.1	transcript/117768
PBfusion.148.1	transcript/69118
PBfusion.148.2	transcript/69118
PBfusion.149.1	transcript/110025
PBfusion.149.2	transcript/110025,transcript/90316
PBfusion.150.1	transcript/121693
PBfusion.150.2	transcript/121693
PBfusion.151.1	transcript/86534
PBfusion.151.2	transcript/86534
PBfusion.152.2	transcript/148112
PBfusion.152.1	transcript/62340,transcript/52919,transcript/148112
PBfusion.153.2	transcript/1993
PBfusion.153.1	transcript/1993
PBfusion.154.1	transcript/44958
PBfusion.154.2	transcript/44958
PBfusion.155.2	transcript/94826
PBfusion.155.1	transcript/94826
PBfusion.156.1	transcript/130748
PBfusion.156.2	transcript/130748
PBfusion.157.1	transcript/27365
PBfusion.157.2	transcript/27365
PBfusion.158.1	transcript/179938
PBfusion.158.2	transcript/179938
PBfusion.159.2	transcript/70402
PBfusion.159.1	transcript/70402
PBfusion.160.1	transcript/122142
PBfusion.160.2	transcript/122142
PBfusion.161.1	transcript/142382
PBfusion.161.2	transcript/171825,transcript/142382
PBfusion.162.2	transcript/105194
PBfusion.162.1	transcript/105194
PBfusion.163.2	transcript/68235
PBfusion.163.1	transcript/68235
PBfusion.164.1	transcript/53960
PBfusion.164.2	transcript/53960
PBfusion.165.2	transcript/109866
PBfusion.165.1	transcript/109866
PBfusion.166.2	transcript/128791
PBfusion.166.1	transcript/146072,transcript/149861,transcript/128791
PBfusion.167.1	transcript/118134
PBfusion.167.2	transcript/118134
PBfusion.168.2	transcript/156313
PBfusion.168.1	transcript/156313
PBfusion.169.2	transcript/72366
PBfusion.169.1	transcript/72366
PBfusion.170.1	transcript/87125
PBfusion.170.2	transcript/87125
PBfusion.171.2	transcript/135189
PBfusion.171.1	transcript/135189
PBfusion.172.2	transcript/139908
PBfusion.172.1	transcript/139908
PBfusion.173.1	transcript/109847
PBfusion.173.2	transcript/109847
PBfusion.174.1	transcript/175677
PBfusion.174.2	transcript/175677
PBfusion.175.2	transcript/58010
PBfusion.175.1	transcript/58010
PBfusion.176.2	transcript/127591
PBfusion.176.1	transcript/127591
PBfusion.177.1	transcript/186279
PBfusion.177.2	transcript/186279
PBfusion.178.2	transcript/168222
PBfusion.178.1	transcript/168222
PBfusion.179.2	transcript/104758
PBfusion.179.1	transcript/104758,transcript/154357,transcript/169637
PBfusion.180.2	transcript/131042
PBfusion.180.1	transcript/131042
PBfusion.181.2	transcript/76529
PBfusion.181.1	transcript/76529
PBfusion.182.1	transcript/114893
PBfusion.182.2	transcript/114893
PBfusion.183.1	transcript/59421
PBfusion.183.2	transcript/59421
PBfusion.184.2	transcript/68356
PBfusion.184.1	transcript/68356
PBfusion.185.2	transcript/39738
PBfusion.185.1	transcript/39738
PBfusion.186.2	transcript/173136
PBfusion.186.1	transcript/173136
PBfusion.187.2	transcript/44734
PBfusion.187.1	transcript/44734
PBfusion.188.2	transcript/162844
PBfusion.188.1	transcript/162844
PBfusion.189.1	transcript/104748
PBfusion.189.2	transcript/104748
PBfusion.190.2	transcript/143609
PBfusion.190.1	transcript/143609
PBfusion.191.2	transcript/121807
PBfusion.191.1	transcript/121807
PBfusion.192.2	transcript/2861
PBfusion.192.1	transcript/2861
PBfusion.193.2	transcript/169915
PBfusion.193.1	transcript/169915
PBfusion.194.1	transcript/181361
PBfusion.194.2	transcript/181361
PBfusion.195.2	transcript/87081
PBfusion.195.1	transcript/79086,transcript/63865,transcript/87081
PBfusion.196.1	transcript/137699
PBfusion.196.2	transcript/137699
PBfusion.197.2	transcript/87270
PBfusion.197.1	transcript/87270
PBfusion.198.2	transcript/69687
PBfusion.198.1	transcript/69687
PBfusion.199.1	transcript/154365
PBfusion.199.2	transcript/154365
PBfusion.200.1	transcript/171659
PBfusion.200.2	transcript/171659
PBfusion.201.2	transcript/126991
PBfusion.201.1	transcript/126991
PBfusion.202.2	transcript/161111
PBfusion.202.1	transcript/161111
PBfusion.203.2	transcript/82918
PBfusion.203.1	transcript/82918
PBfusion.204.2	transcript/95290
PBfusion.204.1	transcript/95290
PBfusion.205.2	transcript/170398
PBfusion.205.1	transcript/170398
PBfusion.206.1	transcript/91716
PBfusion.206.2	transcript/91716
PBfusion.207.1	transcript/53833
PBfusion.207.2	transcript/53833
PBfusion.208.2	transcript/177523
PBfusion.208.1	transcript/177523,transcript/95121
PBfusion.209.2	transcript/126029
PBfusion.209.1	transcript/126029
PBfusion.210.2	transcript/27241
PBfusion.210.1	transcript/78114,transcript/80175,transcript/27241,transcript/168147,transcript/186180
PBfusion.211.2	transcript/129061
PBfusion.211.1	transcript/129061
PBfusion.212.2	transcript/184751
PBfusion.212.1	transcript/184751
PBfusion.213.1	transcript/40141
PBfusion.213.2	transcript/40141,transcript/112643,transcript/170992,transcript/82339,transcript/149648,transcript/155774
PBfusion.214.2	transcript/121357
PBfusion.214.1	transcript/121357
PBfusion.215.2	transcript/68812,transcript/67286,transcript/62550
PBfusion.215.1	transcript/68812
PBfusion.216.2	transcript/68812,transcript/67286,transcript/62550
PBfusion.216.1	transcript/67286
PBfusion.217.2	transcript/68812,transcript/67286,transcript/62550
PBfusion.217.1	transcript/62550
PBfusion.218.1	transcript/143508
PBfusion.218.2	transcript/143508
PBfusion.219.2	transcript/32400
PBfusion.219.1	transcript/32400
PBfusion.220.1	transcript/16531
PBfusion.220.2	transcript/16531
PBfusion.221.2	transcript/52919
PBfusion.221.1	transcript/62340,transcript/52919,transcript/148112
PBfusion.222.2	transcript/152656
PBfusion.222.1	transcript/6668,transcript/152656
PBfusion.223.2	transcript/108601,transcript/147966
PBfusion.223.1	transcript/108601
PBfusion.224.2	transcript/108601,transcript/147966
PBfusion.224.1	transcript/147966
PBfusion.225.2	transcript/135862
PBfusion.225.1	transcript/135862
PBfusion.226.1	transcript/167768
PBfusion.226.2	transcript/167768
PBfusion.227.2	transcript/39174
PBfusion.227.1	transcript/39174
PBfusion.228.1	transcript/34166
PBfusion.228.2	transcript/34166
PBfusion.229.1	transcript/87254
PBfusion.229.2	transcript/87254
PBfusion.230.1	transcript/58031
PBfusion.230.2	transcript/58031
PBfusion.231.2	transcript/117335
PBfusion.231.1	transcript/117335
PBfusion.232.1	transcript/8937
PBfusion.232.2	transcript/8937
PBfusion.233.1	transcript/60811
PBfusion.233.2	transcript/60811
PBfusion.234.1	transcript/134540
PBfusion.234.2	transcript/134540
PBfusion.235.1	transcript/136699
PBfusion.235.2	transcript/136699,transcript/79066
PBfusion.236.1	transcript/90863
PBfusion.236.2	transcript/90863
PBfusion.237.2	transcript/107359
PBfusion.237.1	transcript/107359
PBfusion.238.1	transcript/20485
PBfusion.238.2	transcript/20485
PBfusion.239.1	transcript/143708
PBfusion.239.2	transcript/143708
PBfusion.240.2	transcript/26727
PBfusion.240.1	transcript/26727
PBfusion.241.1	transcript/144123
PBfusion.241.2	transcript/144123
PBfusion.242.2	transcript/176591
PBfusion.242.1	transcript/176591
PBfusion.243.2	transcript/112599
PBfusion.243.1	transcript/112599
PBfusion.244.2	transcript/155549
PBfusion.244.1	transcript/155549
PBfusion.245.2	transcript/74393
PBfusion.245.1	transcript/74393
PBfusion.246.1	transcript/146114
PBfusion.246.2	transcript/146114
PBfusion.247.2	transcript/109135
PBfusion.247.1	transcript/109135
PBfusion.248.1	transcript/36068
PBfusion.248.2	transcript/14283,transcript/36068
PBfusion.249.2	transcript/115461
PBfusion.249.1	transcript/115461
PBfusion.250.2	transcript/138297
PBfusion.250.1	transcript/138297
PBfusion.251.2	transcript/94638
PBfusion.251.1	transcript/94638
PBfusion.252.2	transcript/87512,transcript/106316,transcript/12501,transcript/30106
PBfusion.252.1	transcript/63773,transcript/87512
PBfusion.253.2	transcript/87512,transcript/106316,transcript/12501,transcript/30106
PBfusion.253.1	transcript/106316
PBfusion.254.2	transcript/87512,transcript/106316,transcript/12501,transcript/30106
PBfusion.254.1	transcript/56310,transcript/107072,transcript/82503,transcript/12501
PBfusion.255.2	transcript/87512,transcript/106316,transcript/12501,transcript/30106
PBfusion.255.1	transcript/30106
PBfusion.256.1	transcript/78241
PBfusion.256.2	transcript/78241
PBfusion.257.2	transcript/121808,transcript/57149,transcript/61555,transcript/137855,transcript/98732,transcript/22608,transcript/26837,transcript/103501,transcript/63175
PBfusion.257.1	transcript/57149
PBfusion.258.2	transcript/121808,transcript/57149,transcript/61555,transcript/137855,transcript/98732,transcript/22608,transcript/26837,transcript/103501,transcript/63175
PBfusion.258.1	transcript/98732
PBfusion.259.2	transcript/121808,transcript/57149,transcript/61555,transcript/137855,transcript/98732,transcript/22608,transcript/26837,transcript/103501,transcript/63175
PBfusion.259.1	transcript/26837
PBfusion.260.2	transcript/121808,transcript/57149,transcript/61555,transcript/137855,transcript/98732,transcript/22608,transcript/26837,transcript/103501,transcript/63175
PBfusion.260.1	transcript/103501
PBfusion.261.2	transcript/121808,transcript/57149,transcript/61555,transcript/137855,transcript/98732,transcript/22608,transcript/26837,transcript/103501,transcript/63175
PBfusion.261.1	transcript/63175
PBfusion.262.2	transcript/86340
PBfusion.262.1	transcript/86340
PBfusion.263.2	transcript/138212
PBfusion.263.1	transcript/138212
PBfusion.264.1	transcript/43874
PBfusion.264.2	transcript/43874
PBfusion.265.1	transcript/63828
PBfusion.265.2	transcript/63828
PBfusion.266.1	transcript/30765
PBfusion.266.2	transcript/30765
PBfusion.267.1	transcript/8110
PBfusion.267.2	transcript/8110
PBfusion.268.2	transcript/83414
PBfusion.268.1	transcript/83414
PBfusion.269.1	transcript/96235
PBfusion.269.2	transcript/96235
PBfusion.270.1	transcript/34597
PBfusion.270.2	transcript/34597
PBfusion.271.1	transcript/147284
PBfusion.271.2	transcript/147284
PBfusion.272.2	transcript/26252
PBfusion.272.1	transcript/26252
PBfusion.273.1	transcript/162945
PBfusion.273.2	transcript/162945
PBfusion.274.1	transcript/109406
PBfusion.274.2	transcript/109406
PBfusion.275.1	transcript/20737,transcript/12143
PBfusion.275.2	transcript/20737
PBfusion.276.1	transcript/20737,transcript/12143
PBfusion.276.2	transcript/12143
PBfusion.277.2	transcript/57225,transcript/159618
PBfusion.277.1	transcript/57225
PBfusion.278.2	transcript/57225,transcript/159618
PBfusion.278.1	transcript/159618
PBfusion.279.2	transcript/153973
PBfusion.279.1	transcript/153973
PBfusion.280.1	transcript/121593
PBfusion.280.2	transcript/121593
PBfusion.281.1	transcript/135382
PBfusion.281.2	transcript/79149,transcript/132307,transcript/135382
PBfusion.282.2	transcript/142841,transcript/162999
PBfusion.282.1	transcript/142841
PBfusion.283.2	transcript/142841,transcript/162999
PBfusion.283.1	transcript/162999
PBfusion.284.2	transcript/38544
PBfusion.284.1	transcript/38544
PBfusion.285.2	transcript/106499
PBfusion.285.1	transcript/106499
PBfusion.286.1	transcript/176953
PBfusion.286.2	transcript/176953
PBfusion.287.1	transcript/179291
PBfusion.287.2	transcript/87062,transcript/179291
PBfusion.288.1	transcript/142300
PBfusion.288.2	transcript/142300
PBfusion.289.1	transcript/77422
PBfusion.289.2	transcript/77422
PBfusion.290.2	transcript/102821,transcript/149554
PBfusion.290.1	transcript/102821
PBfusion.291.2	transcript/102821,transcript/149554
PBfusion.291.1	transcript/149554
PBfusion.292.2	transcript/148479
PBfusion.292.1	transcript/148479
PBfusion.293.2	transcript/37655
PBfusion.293.1	transcript/37655
PBfusion.294.1	transcript/119026
PBfusion.294.2	transcript/119026
PBfusion.295.2	transcript/144840
PBfusion.295.1	transcript/144840
PBfusion.296.2	transcript/120379
PBfusion.296.1	transcript/120379
PBfusion.297.1	transcript/68064
PBfusion.297.2	transcript/68064
PBfusion.298.2	transcript/138103
PBfusion.298.1	transcript/138103
PBfusion.299.1	transcript/80886
PBfusion.299.2	transcript/80886
PBfusion.300.2	transcript/182881
PBfusion.300.1	transcript/182881
PBfusion.301.2	transcript/21204
PBfusion.301.1	transcript/21204
PBfusion.302.1	transcript/140446
PBfusion.302.2	transcript/145754,transcript/140446
PBfusion.303.1	transcript/92650
PBfusion.303.2	transcript/92650
PBfusion.304.1	transcript/137093
PBfusion.304.2	transcript/137093
PBfusion.305.2	transcript/154749
PBfusion.305.1	transcript/154749
PBfusion.306.2	transcript/85651
PBfusion.306.1	transcript/85651
PBfusion.307.2	transcript/41307
PBfusion.307.1	transcript/41307
PBfusion.308.2	transcript/154961
PBfusion.308.1	transcript/154961
PBfusion.309.1	transcript/152010
PBfusion.309.2	transcript/152010
PBfusion.310.2	transcript/85655
PBfusion.310.1	transcript/85655
PBfusion.311.2	transcript/88123
PBfusion.311.1	transcript/88123
PBfusion.312.2	transcript/36770
PBfusion.312.1	transcript/36770
PBfusion.313.2	transcript/176987
PBfusion.313.1	transcript/176987
PBfusion.314.2	transcript/101736
PBfusion.314.1	transcript/101736
PBfusion.315.1	transcript/163335
PBfusion.315.2	transcript/163335
PBfusion.316.2	transcript/153407
PBfusion.316.1	transcript/153407
PBfusion.317.1	transcript/28723
PBfusion.317.2	transcript/28723,transcript/64666
PBfusion.318.1	transcript/72971
PBfusion.318.2	transcript/72971
PBfusion.319.1	transcript/151719
PBfusion.319.2	transcript/151719
PBfusion.320.2	transcript/90574
PBfusion.320.1	transcript/90574
PBfusion.321.1	transcript/104084
PBfusion.321.2	transcript/104084
PBfusion.322.1	transcript/29709
PBfusion.322.2	transcript/29709
PBfusion.323.1	transcript/128746
PBfusion.323.2	transcript/128746
PBfusion.324.1	transcript/177231
PBfusion.324.2	transcript/177231
PBfusion.325.1	transcript/31384
PBfusion.325.2	transcript/31384
PBfusion.326.1	transcript/177479
PBfusion.326.2	transcript/177479
PBfusion.327.1	transcript/110397
PBfusion.327.2	transcript/110397
PBfusion.328.2	transcript/6794
PBfusion.328.1	transcript/6794
PBfusion.329.1	transcript/84778
PBfusion.329.2	transcript/84778
PBfusion.330.1	transcript/51836
PBfusion.330.2	transcript/51836
PBfusion.331.1	transcript/132094
PBfusion.331.2	transcript/111774,transcript/32014,transcript/85868,transcript/66286,transcript/132094
PBfusion.332.2	transcript/19706
PBfusion.332.1	transcript/19706
PBfusion.333.2	transcript/6668
PBfusion.333.1	transcript/6668,transcript/152656
PBfusion.334.1	transcript/96502
PBfusion.334.2	transcript/165675,transcript/96502
PBfusion.335.2	transcript/68554
PBfusion.335.1	transcript/68554
PBfusion.336.2	transcript/102524
PBfusion.336.1	transcript/102524
PBfusion.337.1	transcript/163990
PBfusion.337.2	transcript/163990
PBfusion.338.1	transcript/176260
PBfusion.338.2	transcript/176260
PBfusion.339.2	transcript/3676
PBfusion.339.1	transcript/3676
PBfusion.340.2	transcript/16219
PBfusion.340.1	transcript/16219,transcript/9490
PBfusion.341.2	transcript/9490
PBfusion.341.1	transcript/16219,transcript/9490
PBfusion.342.2	transcript/42137
PBfusion.342.1	transcript/42137
PBfusion.343.1	transcript/115111
PBfusion.343.2	transcript/115111
PBfusion.344.2	transcript/47845
PBfusion.344.1	transcript/47845
PBfusion.345.2	transcript/144829
PBfusion.345.1	transcript/144829
PBfusion.346.2	transcript/132725
PBfusion.346.1	transcript/132725
PBfusion.347.2	transcript/42279
PBfusion.347.1	transcript/42279
PBfusion.348.1	transcript/180690
PBfusion.348.2	transcript/180690
PBfusion.349.2	transcript/78016
PBfusion.349.1	transcript/78016
PBfusion.350.1	transcript/115632
PBfusion.350.2	transcript/115632
PBfusion.351.2	transcript/190485
PBfusion.351.1	transcript/190485
PBfusion.352.1	transcript/141342
PBfusion.352.2	transcript/141342
PBfusion.353.2	transcript/13752
PBfusion.353.1	transcript/13752
PBfusion.354.1	transcript/33710
PBfusion.354.2	transcript/33710
PBfusion.355.1	transcript/108281
PBfusion.355.2	transcript/108281
PBfusion.356.2	transcript/77738
PBfusion.356.1	transcript/77738
PBfusion.357.2	transcript/39075
PBfusion.357.1	transcript/39075
PBfusion.358.2	transcript/141549
PBfusion.358.1	transcript/141549
PBfusion.359.1	transcript/130646
PBfusion.359.2	transcript/130646
PBfusion.360.2	transcript/50259
PBfusion.360.1	transcript/50259
PBfusion.361.1	transcript/104622
PBfusion.361.2	transcript/104622
PBfusion.362.2	transcript/108019
PBfusion.362.1	transcript/108019
PBfusion.363.1	transcript/26968
PBfusion.363.2	transcript/26968
PBfusion.364.2	transcript/89909,transcript/124642
PBfusion.364.1	transcript/89909
PBfusion.365.2	transcript/89909,transcript/124642
PBfusion.365.1	transcript/124642
PBfusion.366.2	transcript/157575
PBfusion.366.1	transcript/157575
PBfusion.367.1	transcript/70348
PBfusion.367.2	transcript/70348
PBfusion.368.1	transcript/158285
PBfusion.368.2	transcript/158285
PBfusion.369.2	transcript/150464
PBfusion.369.1	transcript/150464
PBfusion.370.1	transcript/169842
PBfusion.370.2	transcript/169842
PBfusion.371.1	transcript/130846
PBfusion.371.2	transcript/130846
PBfusion.372.2	transcript/115145
PBfusion.372.1	transcript/115145
PBfusion.373.1	transcript/97989
PBfusion.373.2	transcript/97989
PBfusion.374.2	transcript/112484,transcript/23937,transcript/65844
