Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,ecotype,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN,collection_date,env_biome,env_feature,env_material,estimated_size,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,isol_growth_condt,lat_lon,num_replicons,ploidy,project_name,propagation,sample_name,sex,Biomaterial_provider,tissue_type,AGE,BREED,Descritption,replicate,tissue
DRR121630,WGS,200,18612384180,PRJDB6634,SAMD00109160,MIGS.eu,8693514477,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114568,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109160,DRP005753,missing,2014-08,ocean,ocean current,water,678000017bp,uncalculated,uncalculated,"Pacific Ocean: the sea near Kochi\, Japan",missing,32.47 N 132.46 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0018,,,,,,,,
DRR121631,WGS,200,18422991123,PRJDB6634,SAMD00109161,MIGS.eu,8338009303,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114569,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109161,DRP005753,missing,2014-08,ocean,ocean current,water,678000018bp,uncalculated,uncalculated,"Pacific Ocean: the sea near Kochi\, Japan",missing,32.47 N 132.47 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0019,,,,,,,,
DRR121676,WGS,200,18195823436,PRJDB6634,SAMD00109162,MIGS.eu,8296651224,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114614,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109162,DRP005753,missing,2014-08,ocean,ocean current,water,678000019bp,uncalculated,uncalculated,"Pacific Ocean: the sea near Kochi\, Japan",missing,32.47 N 132.48 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0020,,,,,,,,
DRR121981,WGS,200,16506358408,PRJDB6634,SAMD00109145,MIGS.eu,6750641307,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114917,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109145,DRP005753,missing,2014-07,ocean,ocean current,water,678000002bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0003,,,,,,,,
DRR121982,WGS,200,16458909488,PRJDB6634,SAMD00109146,MIGS.eu,6743279722,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114918,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109146,DRP005753,missing,2014-07,ocean,ocean current,water,678000003bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0004,,,,,,,,
DRR121984,WGS,200,18539257276,PRJDB6634,SAMD00109148,MIGS.eu,7667741025,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114920,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109148,DRP005753,missing,2014-07,ocean,ocean current,water,678000005bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0006,,,,,,,,
DRR121985,WGS,200,15999124605,PRJDB6634,SAMD00109149,MIGS.eu,6762004826,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114921,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109149,DRP005753,missing,2014-07,ocean,ocean current,water,678000006bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0007,,,,,,,,
DRR121987,WGS,200,16005913003,PRJDB6634,SAMD00109151,MIGS.eu,6781459466,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114923,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109151,DRP005753,missing,2014-07,ocean,ocean current,water,678000008bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0009,,,,,,,,
DRR121988,WGS,200,18062465120,PRJDB6634,SAMD00109152,MIGS.eu,7424891342,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114924,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109152,DRP005753,missing,2014-07,ocean,ocean current,water,678000009bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0010,,,,,,,,
DRR121990,WGS,200,17173764962,PRJDB6634,SAMD00109154,MIGS.eu,7084272101,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114926,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109154,DRP005753,missing,2014-07,ocean,ocean current,water,678000011bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0012,,,,,,,,
